fips,county,state_abbr,state_name,individual_premium,small_group_premium,difference,year,age,metal_tier
02013,Aleutians East Borough,AK,Alaska,,608.98,,2026,27,Bronze
02013,Aleutians East Borough,AK,Alaska,,1037.82,,2026,50,Bronze
02013,Aleutians East Borough,AK,Alaska,,774.78,,2026,27,Gold
02013,Aleutians East Borough,AK,Alaska,,1320.38,,2026,50,Gold
02013,Aleutians East Borough,AK,Alaska,,693.25,,2026,27,Silver
02013,Aleutians East Borough,AK,Alaska,,1181.43,,2026,50,Silver
02016,Aleutians West Census Area,AK,Alaska,,608.98,,2026,27,Bronze
02016,Aleutians West Census Area,AK,Alaska,,1037.82,,2026,50,Bronze
02016,Aleutians West Census Area,AK,Alaska,,774.78,,2026,27,Gold
02016,Aleutians West Census Area,AK,Alaska,,1320.38,,2026,50,Gold
02016,Aleutians West Census Area,AK,Alaska,,693.25,,2026,27,Silver
02016,Aleutians West Census Area,AK,Alaska,,1181.43,,2026,50,Silver
02020,Anchorage Municipality,AK,Alaska,,608.98,,2026,27,Bronze
02020,Anchorage Municipality,AK,Alaska,,1037.82,,2026,50,Bronze
02020,Anchorage Municipality,AK,Alaska,,771.35,,2026,27,Gold
02020,Anchorage Municipality,AK,Alaska,,1314.53,,2026,50,Gold
02020,Anchorage Municipality,AK,Alaska,,677.48,,2026,27,Silver
02020,Anchorage Municipality,AK,Alaska,,1154.56,,2026,50,Silver
02050,Bethel Census Area,AK,Alaska,,608.98,,2026,27,Bronze
02050,Bethel Census Area,AK,Alaska,,1037.82,,2026,50,Bronze
02050,Bethel Census Area,AK,Alaska,,774.78,,2026,27,Gold
02050,Bethel Census Area,AK,Alaska,,1320.38,,2026,50,Gold
02050,Bethel Census Area,AK,Alaska,,693.25,,2026,27,Silver
02050,Bethel Census Area,AK,Alaska,,1181.43,,2026,50,Silver
02060,Bristol Bay Borough,AK,Alaska,,608.98,,2026,27,Bronze
02060,Bristol Bay Borough,AK,Alaska,,1037.82,,2026,50,Bronze
