state_abbr,state_name,individual_premium_avg,small_group_premium_avg,difference_avg,county_count,year,age,metal_tier
AK,Alaska,,608.98,,30,2026,27,Bronze
AK,Alaska,,774.55,,30,2026,27,Gold
AK,Alaska,,690.71,,30,2026,27,Silver
AK,Alaska,,1037.82,,30,2026,50,Bronze
AK,Alaska,,1319.99,,30,2026,50,Gold
AK,Alaska,,1177.1,,30,2026,50,Silver
AL,Alabama,358.99,254.76,104.23,67,2026,27,Bronze
AL,Alabama,591.48,418.33,173.15,67,2026,27,Gold
AL,Alabama,458.16,322.08,136.08,67,2026,27,Silver
AL,Alabama,611.79,434.16,177.63,67,2026,50,Bronze
AL,Alabama,1008.01,712.91,295.1,67,2026,50,Gold
AL,Alabama,780.8,548.88,231.91,67,2026,50,Silver
AR,Arkansas,366.93,276.73,90.2,75,2026,27,Bronze
AR,Arkansas,530.19,391.74,138.45,75,2026,27,Gold
AR,Arkansas,551.86,298.21,253.65,75,2026,27,Silver
AR,Arkansas,625.31,470.2,155.11,75,2026,50,Bronze
AR,Arkansas,903.56,666.36,237.2,75,2026,50,Gold
AR,Arkansas,940.48,506.81,433.67,75,2026,50,Silver
AZ,Arizona,461.49,395.54,65.95,15,2026,27,Bronze
AZ,Arizona,642.03,509.84,132.2,15,2026,27,Gold
AZ,Arizona,516.78,396.06,120.72,15,2026,27,Silver
AZ,Arizona,786.47,674.06,112.4,15,2026,50,Bronze
AZ,Arizona,1094.15,868.86,225.29,15,2026,50,Gold
AZ,Arizona,880.69,674.96,205.73,15,2026,50,Silver
CA,California,458.03,400.79,57.24,58,2026,27,Bronze
CA,California,621.21,434.02,187.19,58,2026,27,Gold
CA,California,495.81,430.48,65.33,58,2026,27,Silver
CA,California,780.57,683.02,97.55,58,2026,50,Bronze
CA,California,1058.66,739.66,319.0,58,2026,50,Gold
CA,California,844.95,733.62,111.33,58,2026,50,Silver
CO,Colorado,403.51,449.39,-45.88,64,2026,27,Bronze
CO,Colorado,482.05,542.58,-60.53,64,2026,27,Gold
CO,Colorado,437.16,486.56,-49.4,64,2026,27,Silver
CO,Colorado,687.67,765.85,-78.19,64,2026,50,Bronze
CO,Colorado,821.51,924.66,-103.15,64,2026,50,Gold
CO,Colorado,745.01,829.2,-84.19,64,2026,50,Silver
CT,Connecticut,491.46,499.07,-7.62,8,2026,27,Bronze
CT,Connecticut,635.04,619.9,15.14,8,2026,27,Gold
CT,Connecticut,589.65,561.29,28.36,8,2026,27,Silver
CT,Connecticut,837.54,850.52,-12.98,8,2026,50,Bronze
CT,Connecticut,1082.23,1056.43,25.8,8,2026,50,Gold
CT,Connecticut,1004.88,956.56,48.32,8,2026,50,Silver
DC,District of Columbia,376.8,287.95,88.85,1,2026,27,Bronze
